Name,Price,Car_Age,Fuel_Type_Petrol,Transmission_Manual,Engine,KMs_Driven,Engine_Liters
Land Rover Range Rover 3.0 Diesel LWB Vogue,160.0,8,False,False,2993,25000,2.993
Lamborghini Gallardo Coupe,120.0,14,True,False,5204,6500,5.204
Jaguar F Type 5.0 V8 S,100.0,10,True,False,5000,8000,5.0
Land Rover Range Rover Sport SE,97.07,6,False,False,2993,26013,2.993
BMW 7 Series 740Li,93.67,7,True,False,2979,28060,2.979
BMW 7 Series 740Li,93.0,8,True,False,2979,17465,2.979
Mercedes-Benz SLK-Class 55 AMG,90.0,11,True,False,5461,3000,5.461
BMW X6 xDrive 40d M Sport,85.0,10,False,False,2993,97003,2.993
Mercedes-Benz SLC 43 AMG,83.96,6,True,False,2996,2526,2.996
Jaguar XJ 3.0L Portfolio,79.0,9,False,False,2993,12000,2.993
Mercedes-Benz GLS 350d Grand Edition,79.0,7,False,False,2987,6000,2.987
Mercedes-Benz E-Class E 350 d,78.8,6,False,False,2987,9312,2.987
Jaguar XJ 2.0L Portfolio,75.0,8,True,False,1999,10501,1.999
Porsche Panamera Diesel,75.0,10,False,False,2967,25100,2.967
Porsche Panamera Diesel,75.0,12,False,False,2967,19828,2.967
Jaguar XJ 3.0L Portfolio,75.0,10,False,False,2993,26000,2.993
Audi Q7 45 TDI Quattro Premium Plus,72.94,6,False,False,2967,6773,2.967
Porsche Panamera 2010 2013 Diesel,72.0,12,False,False,4806,36400,4.806
Mercedes-Benz GLC 43 AMG Coupe,70.99,7,True,False,2996,22397,2.996
Mercedes-Benz GLE 350d,70.8,7,False,False,2987,40129,2.987
Land Rover Range Rover Sport HSE,70.66,10,False,False,2993,38467,2.993
Audi Q7 3.0 TDI Quattro Technology,70.36,7,False,False,2967,11287,2.967
Mercedes-Benz E-Class 2015-2017 E350 CDI Avantgrade,70.15,7,False,False,2987,21603,2.987
Land Rover Range Rover 3.6 TDV8 Vogue SE Diesel,70.0,13,False,False,4367,66538,4.367
BMW X5 X5 M,70.0,8,False,False,2993,15000,2.993
Mercedes-Benz E-Class 2015-2017 E350 CDI Avantgrade,69.5,8,False,False,2987,15000,2.987
BMW 6 Series Gran Coupe,68.94,7,False,False,2993,20004,2.993
Audi Q7 45 TDI Quattro Technology,68.0,8,False,False,2967,59500,2.967
Porsche Cayenne S Diesel,67.83,9,False,False,4134,65003,4.134
Audi Q7 45 TDI Quattro Technology,67.0,9,False,False,2967,20002,2.967
Land Rover Range Rover TDV8 (Diesel),67.0,14,False,False,4367,55000,4.367
Land Rover Range Rover Vogue SE 4.4 SDV8,65.81,12,False,False,4367,75995,4.367
BMW X5 xDrive 30d M Sport,65.0,8,False,False,2993,6500000,2.993
Mercedes-Benz GLE 350d,65.0,9,False,False,2987,29000,2.987
Land Rover Range Rover Vogue SE 4.4 SDV8,65.0,13,False,False,4367,63000,4.367
Mercedes-Benz GLE 350d,64.95,8,False,False,2987,19863,2.987
Mercedes-Benz GLE 350d,64.87,8,False,False,2987,33552,2.987
Land Rover Range Rover Sport SE,64.75,11,False,False,2993,47000,2.993
Porsche Boxster S tiptronic,64.0,10,True,False,2706,10512,2.706
Mercedes-Benz S Class 2005 2013 S 350 CDI,62.81,8,False,False,2987,56451,2.987
Audi Q7 45 TDI Quattro Technology,62.67,8,False,False,2967,97430,2.967
Mercedes-Benz GLE 350d,61.29,8,False,False,2987,29819,2.987
BMW X3 xDrive 20d Luxury Line,61.25,7,False,False,1995,1400,1.995
Porsche Panamera Diesel,60.95,10,False,False,2967,54996,2.967
Mercedes-Benz GLE 350d,60.75,9,False,False,2987,28541,2.987
BMW X6 xDrive 40d M Sport,60.0,9,False,False,2993,25000,2.993
Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,59.72,7,False,False,1999,31427,1.999
Mercedes-Benz GLE 350d,59.65,7,False,False,2987,29277,2.987
Mercedes-Benz GLE 350d,59.29,7,False,False,2987,30706,2.987
Bentley Continental Flying Spur,59.0,19,True,False,5998,48000,5.998
Land Rover Discovery Sport SD4 HSE Luxury 7S,58.91,6,False,False,2179,17201,2.179
Jaguar XJ 3.0L Portfolio LWB,58.73,9,False,False,2993,17652,2.993
BMW Z4 2009-2013 Roadster 2.5i,58.54,7,True,False,2979,9952,2.979
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,58.0,9,False,False,2993,76000,2.993
BMW X5 xDrive 30d M Sport,57.0,9,False,False,2993,45000,2.993
Mercedes-Benz GLE 250d,57.0,8,False,False,2143,29000,2.143
Ford Mustang V8,56.8,7,True,False,4951,21290,4.951
Mercedes-Benz GLE 250d,56.73,8,False,False,2143,25601,2.143
Mercedes-Benz E-Class E 220 d,56.5,7,False,False,1950,11000,1.95
Land Rover Discovery Sport TD4 HSE 7S,56.14,6,False,False,1999,24013,1.999
Mercedes-Benz GLS 350d 4MATIC,56.0,8,False,False,2987,129000,2.987
Mercedes-Benz GL-Class 350 CDI Blue Efficiency,56.0,9,False,False,2987,16000,2.987
Mercedes-Benz GL-Class 350 CDI Blue Efficiency,56.0,10,False,False,2987,45000,2.987
Mercedes-Benz GLE 250d,56.0,9,False,False,2143,21000,2.143
Land Rover Range Rover 2.2L Dynamic,55.76,7,False,False,2179,36091,2.179
Land Rover Discovery Sport TD4 HSE,55.7,6,False,False,2179,25899,2.179
Mercedes-Benz SLK-Class SLK 350,55.54,9,True,False,3498,22732,3.498
BMW X5 xDrive 30d M Sport,55.0,8,False,False,2993,21000,2.993
Mercedes-Benz SLK-Class SLK 350,55.0,10,True,False,3498,10000,3.498
BMW X5 xDrive 30d,54.45,9,False,False,2993,17738,2.993
BMW X5 xDrive 30d Design Pure Experience 5 Seater,54.0,10,False,False,2993,69000,2.993
Mercedes-Benz SLC 43 AMG,54.0,8,True,False,2996,13372,2.996
Land Rover Range Rover 2.2L Prestige,53.83,8,False,False,2179,34990,2.179
Audi Q7 35 TDI Quattro Technology,53.11,9,False,False,2967,28733,2.967
Land Rover Range Rover 3.6 TDV8 Vogue SE,52.54,13,False,False,4367,84384,4.367
Jaguar XF 2.2 Litre Luxury,52.5,7,False,False,2179,3000,2.179
Audi Q7 35 TDI Quattro Technology,52.5,10,False,False,2967,21000,2.967
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,52.0,10,False,False,2987,55000,2.987
BMW 7 Series 730Ld,52.0,11,False,False,2993,35000,2.993
Jaguar XF 2.0 Diesel Portfolio,52.0,8,False,False,1999,21000,1.999
